symbol,breakout_date,next_open,max_high_30d,min_low_30d,close_30d,latest_close,days_since,ret_30d_close,ret_to_now,max_gain_30d,max_dd_30d,tpsl_outcome,tpsl_net
AMPG,2024-10-23,1.190000057220459,1.3200000524520874,0.781000018119812,0.859000027179718,5.179999828338623,590,-0.27815127237377946,3.3529408229086988,0.1092436882190373,-0.3436974953227887,-0.2,-0.22
AREC,2024-10-09,1.100000023841858,1.2699999809265137,0.8399999737739563,1.059999942779541,2.109999895095825,604,-0.03636370926848953,0.9181816812389183,0.15454541218182372,-0.23636367675686587,-0.2,-0.22
AREC,2025-04-16,1.2549999952316284,1.6799999475479126,0.6140000224113464,0.6380000114440918,2.109999895095825,415,-0.4916334550851216,0.6812748231974248,0.3386453816183834,-0.5107569523950286,-0.2,-0.22
AREC,2025-07-10,1.1200000047683716,1.950000047683716,1.0,1.4500000476837158,2.109999895095825,330,0.29464289420569423,0.883928469743352,0.7410714637336075,-0.1071428609441738,0.5,0.48
CGTX,2025-08-12,1.3799999952316284,3.8299999237060542,1.1449999809265137,1.350000023841858,1.2899999618530271,297,-0.02173910977784832,-0.0652174157170885,1.7753622731449368,-0.17028986602689866,0.5,0.48
CTMX,2025-05-08,1.2899999618530271,3.0950000286102295,0.9079999923706056,2.1600000858306885,3.0,393,0.6744187207013133,1.325581464119297,1.3992248993282144,-0.2961240161074855,-0.2,-0.22
EQ,2024-08-23,1.0800000429153442,1.309999942779541,0.7400000095367432,0.9300000071525574,2.940000057220459,651,-0.13888891648363078,1.7222221670327387,0.21296286178224277,-0.31481483321130943,-0.2,-0.22
EQ,2024-10-16,1.149999976158142,1.5,0.6600000262260437,0.7699999809265137,2.940000057220459,597,-0.3304347853128762,1.5565218418892952,0.304347853128762,-0.42608692181808894,-0.2,-0.22
EQ,2025-08-15,1.1299999952316284,2.3499999046325684,1.0700000524520874,1.4600000381469729,2.940000057220459,294,0.2920354374406,1.6017699731209425,1.0796459420788431,-0.05309729471922886,0.5,0.48
GEVO,2024-09-13,1.25,3.390000104904175,1.2100000381469729,2.9600000381469727,1.6299999952316284,630,1.3680000305175781,0.3039999961853028,1.71200008392334,-0.031999969482421675,0.5,0.48
HOVR,2024-12-26,1.2200000286102295,1.6299999952316284,0.5509999990463257,0.5699999928474426,2.259999990463257,526,-0.5327869020652716,0.8524589651344103,0.33606553852990717,-0.5483606671108027,-0.2,-0.22
HOVR,2025-05-29,1.100000023841858,2.5199999809265137,0.8500000238418579,1.590000033378601,2.259999990463257,372,0.44545454446934474,1.0545454013446158,1.2909090239154422,-0.2272727223467237,-0.2,-0.22
IBIO,2025-10-21,1.0299999713897705,1.809999942779541,0.959999978542328,1.0399999618530271,1.8200000524520872,227,0.009708728874782135,0.7669903912680465,0.7572815466560867,-0.06796115999206498,0.5,0.48
IRWD,2025-08-13,1.0800000429153442,1.5199999809265137,1.0099999904632568,1.2699999809265137,3.309999942779541,296,0.1759258615381949,2.0648146400481164,0.407407333821429,-0.06481486080605126,0.1759258615381949,0.1559258615381949
IVVD,2025-02-03,1.2599999904632568,2.740000009536743,0.7009999752044678,0.8059999942779541,1.0299999713897705,487,-0.3603174600171094,-0.1825396990589846,1.1746031986312504,-0.44365080911886734,-0.2,-0.22
LAES,2024-12-11,1.7100000381469729,11.0,1.4800000190734863,3.7300000190734863,3.200000047683716,541,1.1812865122011749,0.8713450153786948,5.432748394508843,-0.1345029321301794,0.5,0.48
LXRX,2025-07-09,1.0700000524520874,1.4299999475479126,1.0,1.1299999952316284,1.909999966621399,331,0.056074710129257355,0.7850466102728768,0.3364484835966355,-0.06542060656134585,0.056074710129257355,0.03607471012925735
MVST,2024-12-02,1.0199999809265137,2.869999885559082,0.949999988079071,2.1600000858306885,1.25,550,1.1176471825701992,0.2254902189944814,1.8137254306143484,-0.06862744525137965,0.5,0.48
NAUT,2025-10-15,1.1299999952316284,2.5399999618530273,0.949999988079071,2.2699999809265137,2.390000104904175,233,1.0088495491198715,1.115044349548223,1.2477875863462953,-0.15929204240010708,0.5,0.48
OCGN,2025-06-06,1.1299999952316284,1.2899999618530271,0.902999997138977,1.0299999713897705,1.2799999713897705,364,-0.0884955966936618,0.1327433422930191,0.14159289141289055,-0.2008849549119871,-0.2,-0.22
PDSB,2026-04-09,1.090000033378601,1.5499999523162842,0.8610000014305115,1.159999966621399,1.0199999809265137,57,0.06422012027451385,-0.06422022964083118,0.4220182613314716,-0.2100917659958902,-0.2,-0.22
PGEN,2024-12-31,1.2000000476837158,2.0999999046325684,1.0299999713897705,1.9600000381469729,3.5799999237060547,521,0.6333333002196433,1.9833331512080372,0.7499998509883941,-0.14166672461562457,0.5,0.48
PLBY,2024-10-31,1.2400000095367432,1.7389999628067017,0.8529999852180481,1.409999966621399,1.2999999523162842,582,0.13709673852999948,0.048387050256521125,0.40241931405821685,-0.31209679140508717,-0.2,-0.22
QTEX,2025-07-02,1.0800000429153442,1.649999976158142,1.0,1.2549999952316284,1.4199999570846558,338,0.16203698644667708,0.3148147228323419,0.5277776949935522,-0.07407411086706317,0.5,0.48
QUBT,2024-10-21,1.1799999475479126,9.199999809265137,1.0,6.170000076293945,9.954999923706056,592,4.228813856403514,7.436440988317793,6.796610354418326,-0.15254233521108174,0.5,0.48
RLMD,2025-08-29,1.1299999952316284,2.8399999141693115,1.059999942779541,2.0199999809265137,5.949999809265137,280,0.7876106101331906,4.265486579091092,1.513274270932334,-0.06194694933404732,0.5,0.48
SCZM,2025-01-30,1.0551999807357788,1.4880000352859497,0.9571999907493592,1.4296000003814695,6.400000095367432,491,0.35481427831777057,5.065201110887801,0.4101592707084627,-0.09287338113680144,0.35481427831777057,0.33481427831777055
SKYX,2024-10-07,1.1799999475479126,1.5,1.0099999904632568,1.0700000524520874,1.0700000524520874,606,-0.09322025422493396,-0.09322025422493396,0.2711864971833773,-0.14406776664517873,-0.09322025422493396,-0.11322025422493397
SLNH,2025-07-10,1.0700000524520874,1.7200000286102295,0.4199999868869781,0.449999988079071,1.340000033378601,330,-0.5794392840936602,0.25233641840274945,0.607476583453016,-0.6074766670109253,-0.2,-0.22
SLNH,2025-09-19,1.2100000381469729,5.139999866485596,1.149999976158142,3.490000009536743,1.340000033378601,259,1.8842974376111794,0.10743800920098634,3.2479336400328815,-0.049586826526647476,0.5,0.48
STAK,2026-03-02,1.1050000190734863,1.7200000286102295,0.481000006198883,0.8159999847412109,4.929999828338623,95,-0.26153848809395897,3.46153822917786,0.5565610849965457,-0.5647058842567361,-0.2,-0.22
SY,2024-10-02,1.1505767728837024,1.2085889354472852,0.642002409882194,0.7734969258308411,1.9299999475479128,611,-0.3277311483594286,0.6774195282169082,0.05042007098595103,-0.44201688664969585,-0.2,-0.22
TMC,2024-12-27,1.1100000143051147,1.940000057220459,1.0199999809265137,1.7599999904632568,5.119999885559082,525,0.5855855565597059,3.6126124500676866,0.7477477767736274,-0.08108111010696084,0.5,0.48
TRON,2024-12-04,0.8859999775886536,0.8859999775886536,0.4059999883174896,0.4550000131130218,1.75,548,-0.486455954150976,0.9751693501875898,0.0,-0.5417607239421571,-0.2,-0.22
TRON,2025-06-12,1.2000000476837158,12.800000190734863,1.034000039100647,10.854999542236328,1.75,358,8.045832592414515,0.4583332753843754,9.666666401757144,-0.1383333349890179,0.5,0.48
XMAX,2025-04-25,1.0800000429153442,1.6699999570846558,0.9100000262260436,1.2200000286102295,8.15999984741211,406,0.129629611233135,6.555555114039686,0.5462961951155763,-0.15740741660565483,0.5,0.48
