status,rth_open,trigger_minute,symbol,date,exit_reason,entry_time,exit_time,entry_price,exit_price,minute_return,bars_held
ok,,7.0,ABTS,2026-02-20,tp,2026-02-20 09:47:00-05:00,2026-02-20 09:47:00-05:00,2.795,3.0745,0.10000000000000009,0.0
ok,,21.0,AEHL,2025-11-24,sl,2025-11-24 09:51:00-05:00,2025-11-24 09:51:00-05:00,10.218,9.707099999999999,-0.050000000000000155,0.0
ok,,14.0,AEHL,2026-05-12,sl,2026-05-12 09:44:00-04:00,2026-05-12 09:45:00-04:00,1.5925000000000002,1.5128750000000002,-0.050000000000000044,1.0
ok,,25.0,AGPU,2026-04-01,sl,2026-04-01 09:58:00-04:00,2026-04-01 09:59:00-04:00,2.4050000000000002,2.2847500000000003,-0.04999999999999993,1.0
ok,,17.0,AIMD,2025-01-10,sl,2025-01-10 09:47:00-05:00,2025-01-10 09:47:00-05:00,4.888,4.643599999999999,-0.050000000000000155,0.0
ok,,8.0,AIMD,2025-08-06,sl,2025-08-06 09:38:00-04:00,2025-08-06 09:40:00-04:00,3.9845,3.785275,-0.050000000000000044,2.0
ok,,26.0,AIMD,2026-05-26,sl,2026-05-26 11:07:00-04:00,2026-05-26 11:07:00-04:00,1.989,1.88955,-0.050000000000000044,0.0
ok,,0.0,ALVO,2024-10-17,sl,2024-10-17 09:30:00-04:00,2024-10-17 09:30:00-04:00,11.895000000000001,11.30025,-0.050000000000000044,0.0
ok,,24.0,APPS,2025-02-06,sl,2025-02-06 09:54:00-05:00,2025-02-06 10:18:00-05:00,4.16,3.952,-0.050000000000000044,24.0
ok,,4.0,ARTL,2026-03-27,tp,2026-03-27 09:52:00-04:00,2026-03-27 09:52:00-04:00,10.387,11.4257,0.10000000000000009,0.0
ok,,23.0,ARTV,2025-04-07,tp_gap,2025-04-07 10:12:00-04:00,2025-04-07 10:33:00-04:00,2.9770000000000003,3.31,0.11185757473967062,21.0
ok,,7.0,BIRD,2026-04-15,sl,2026-04-15 09:41:00-04:00,2026-04-15 09:41:00-04:00,8.866000000000001,8.4227,-0.050000000000000044,0.0
ok,,5.0,BRAI,2026-02-25,tp,2026-02-25 09:48:00-05:00,2026-02-25 09:49:00-05:00,5.7589999999999995,6.3349,0.10000000000000009,1.0
ok,,14.0,BRAI,2026-03-03,sl,2026-03-03 10:22:00-05:00,2026-03-03 10:26:00-05:00,6.71671,6.3808745,-0.050000000000000044,4.0
ok,,17.0,BRAI,2026-03-17,tp,2026-03-17 10:38:00-04:00,2026-03-17 10:42:00-04:00,8.71871,9.590581,0.10000000000000009,3.0
ok,,16.0,BRAI,2026-05-26,sl,2026-05-26 09:46:00-04:00,2026-05-26 09:46:00-04:00,11.206,10.6457,-0.04999999999999993,0.0
ok,,4.0,CODX,2026-01-14,sl,2026-01-14 09:34:00-05:00,2026-01-14 09:34:00-05:00,3.419,3.24805,-0.04999999999999993,0.0
ok,,29.0,DXST,2026-03-04,sl,2026-03-04 09:59:00-05:00,2026-03-04 09:59:00-05:00,3.80575,3.6154625,-0.050000000000000044,0.0
ok,,13.0,DXST,2026-03-06,sl,2026-03-06 09:43:00-05:00,2026-03-06 09:43:00-05:00,5.203250000000001,4.943087500000001,-0.04999999999999993,0.0
ok,,1.0,EEIQ,2025-07-09,sl,2025-07-09 09:32:00-04:00,2025-07-09 09:33:00-04:00,8.74224,8.305128,-0.050000000000000044,1.0
ok,,6.0,EEIQ,2026-03-26,sl,2026-03-26 09:36:00-04:00,2026-03-26 09:36:00-04:00,6.227,5.91565,-0.050000000000000044,0.0
ok,,8.0,ERNA,2026-05-12,tp,2026-05-12 09:49:00-04:00,2026-05-12 09:56:00-04:00,9.698,10.667800000000002,0.10000000000000009,3.0
ok,,1.0,FATN,2025-04-08,sl,2025-04-08 10:55:00-04:00,2025-04-08 10:55:00-04:00,8.450000000000001,8.0275,-0.050000000000000155,0.0
ok,,10.0,FOFO,2025-09-12,tp,2025-09-12 11:38:00-04:00,2025-09-12 11:38:00-04:00,6.825,7.507500000000001,0.10000000000000009,0.0
ok,,11.0,FOXX,2025-01-30,sl,2025-01-30 09:51:00-05:00,2025-01-30 09:51:00-05:00,3.796,3.6062,-0.050000000000000044,0.0
ok,,12.0,FOXX,2025-11-21,tp_gap,2025-11-21 10:28:00-05:00,2025-11-21 10:34:00-05:00,2.795,3.2,0.14490161001788926,2.0
ok,,9.0,GSIT,2025-10-20,sl,2025-10-20 09:47:00-04:00,2025-10-20 09:47:00-04:00,9.75,9.2625,-0.050000000000000044,0.0
ok,,10.0,GXAI,2024-09-20,sl,2024-09-20 11:14:00-04:00,2024-09-20 11:14:00-04:00,3.1135,2.957825,-0.050000000000000044,0.0
ok,,9.0,HCWB,2026-05-20,tp,2026-05-20 09:39:00-04:00,2026-05-20 09:39:00-04:00,1.352,1.4872000000000003,0.10000000000000009,0.0
ok,,19.0,HTCO,2026-05-04,tp,2026-05-04 09:58:00-04:00,2026-05-04 09:58:00-04:00,11.959999999999999,13.156,0.10000000000000009,0.0
ok,,11.0,LFS,2025-11-11,sl,2025-11-11 10:23:00-05:00,2025-11-11 10:23:00-05:00,2.275,2.16125,-0.050000000000000044,0.0
ok,,15.0,LFS,2025-11-18,tp,2025-11-18 10:12:00-05:00,2025-11-18 10:12:00-05:00,5.005,5.5055000000000005,0.10000000000000009,0.0
ok,,17.0,LFS,2025-11-20,tp,2025-11-20 09:48:00-05:00,2025-11-20 09:58:00-05:00,6.162000000000001,6.778200000000002,0.10000000000000009,10.0
ok,,13.0,LFS,2026-01-26,sl,2026-01-26 09:50:00-05:00,2026-01-26 09:50:00-05:00,3.653,3.47035,-0.050000000000000044,0.0
ok,,14.0,LICN,2025-12-05,tp,2025-12-05 10:23:00-05:00,2025-12-05 10:24:00-05:00,3.874,4.2614,0.10000000000000009,1.0
ok,,27.0,LRMR,2026-02-25,tp,2026-02-25 09:57:00-05:00,2026-02-25 10:17:00-05:00,4.758,5.2338000000000005,0.10000000000000009,20.0
ok,,24.0,MASK,2026-03-31,sl,2026-03-31 09:54:00-04:00,2026-03-31 09:54:00-04:00,2.1189999999999998,2.01305,-0.050000000000000044,0.0
ok,,19.0,MASK,2026-05-28,sl,2026-05-28 09:49:00-04:00,2026-05-28 09:49:00-04:00,2.4245,2.303275,-0.04999999999999993,0.0
ok,,22.0,NAMM,2026-01-21,sl,2026-01-21 09:52:00-05:00,2026-01-21 09:56:00-05:00,1.3,1.2349999999999999,-0.050000000000000155,4.0
ok,,10.0,OPRX,2025-03-12,sl,2025-03-12 09:41:00-04:00,2025-03-12 09:41:00-04:00,6.305,5.989749999999999,-0.050000000000000155,0.0
ok,,7.0,ORGO,2025-02-28,sl,2025-02-28 09:37:00-05:00,2025-02-28 09:43:00-05:00,5.278,5.014099999999999,-0.050000000000000044,6.0
ok,,9.0,PCLA,2025-12-23,tp,2025-12-23 09:39:00-05:00,2025-12-23 09:39:00-05:00,7.2540000000000004,7.979400000000001,0.10000000000000009,0.0
ok,,26.0,PSIG,2026-02-02,sl,2026-02-02 15:46:00-05:00,2026-02-02 15:46:00-05:00,6.253,5.94035,-0.050000000000000044,0.0
ok,,17.0,RMSG,2025-08-06,sl,2025-08-06 09:48:00-04:00,2025-08-06 09:48:00-04:00,2.301,2.18595,-0.050000000000000044,0.0
ok,,17.0,RYOJ,2026-05-22,sl,2026-05-22 09:47:00-04:00,2026-05-22 09:47:00-04:00,3.1590000000000003,3.00105,-0.050000000000000044,0.0
ok,,11.0,SBET,2024-12-06,sl,2024-12-06 09:45:00-05:00,2024-12-06 09:55:00-05:00,8.1744,7.76568,-0.050000000000000044,10.0
ok,,13.0,SIDU,2024-08-19,tp,2024-08-19 10:28:00-04:00,2024-08-19 10:28:00-04:00,3.523,3.8753000000000006,0.10000000000000009,0.0
ok,,9.0,SKK,2024-12-26,tp,2024-12-26 09:45:00-05:00,2024-12-26 09:45:00-05:00,9.555,10.5105,0.10000000000000009,0.0
ok,,5.0,SKK,2026-05-04,tp,2026-05-04 11:45:00-04:00,2026-05-04 11:45:00-04:00,2.2944999999999998,2.52395,0.10000000000000009,0.0
ok,,8.0,SKYQ,2025-06-16,sl,2025-06-16 09:40:00-04:00,2025-06-16 09:40:00-04:00,8.132800000000001,7.726160000000001,-0.050000000000000044,0.0
ok,,27.0,SLDP,2025-11-05,eod,2025-11-05 09:57:00-05:00,2025-11-05 15:59:00-05:00,8.112,8.505,0.048446745562130245,362.0
ok,,27.0,SLS,2025-01-27,sl,2025-01-27 09:57:00-05:00,2025-01-27 09:58:00-05:00,1.3650000000000002,1.29675,-0.050000000000000044,1.0
ok,,8.0,SOBR,2025-04-04,sl,2025-04-04 09:51:00-04:00,2025-04-04 09:51:00-04:00,4.173,3.96435,-0.050000000000000044,0.0
ok,,4.0,SPHL,2026-06-05,sl,2026-06-05 09:38:00-04:00,2026-06-05 09:38:00-04:00,3.107,2.95165,-0.050000000000000155,0.0
ok,,10.0,SPPL,2024-11-04,sl,2024-11-04 09:47:00-05:00,2024-11-04 09:47:00-05:00,3.3800000000000003,3.2110000000000003,-0.050000000000000044,0.0
ok,,23.0,STAK,2025-04-14,sl,2025-04-14 10:13:00-04:00,2025-04-14 10:13:00-04:00,1.625,1.54375,-0.050000000000000044,0.0
ok,,27.0,STAK,2026-06-03,tp,2026-06-03 09:57:00-04:00,2026-06-03 10:19:00-04:00,2.496,2.7456,0.10000000000000009,22.0
ok,,1.0,TJGC,2026-06-03,tp,2026-06-03 12:32:00-04:00,2026-06-03 12:32:00-04:00,3.315,3.6465,0.10000000000000009,0.0
ok,,12.0,TRAW,2026-05-11,sl,2026-05-11 09:42:00-04:00,2026-05-11 09:42:00-04:00,2.8860000000000006,2.7417000000000002,-0.050000000000000155,0.0
ok,,19.0,TURB,2025-09-16,sl,2025-09-16 09:49:00-04:00,2025-09-16 09:49:00-04:00,8.099,7.69405,-0.050000000000000044,0.0
ok,,28.0,TURB,2026-03-03,sl,2026-03-03 09:58:00-05:00,2026-03-03 10:01:00-05:00,1.6900000000000002,1.6055000000000001,-0.050000000000000044,3.0
ok,,8.0,UCAR,2026-03-17,sl,2026-03-17 09:38:00-04:00,2026-03-17 09:38:00-04:00,9.824100000000001,9.332895,-0.050000000000000044,0.0
ok,,17.0,WALD,2024-08-28,sl,2024-08-28 09:47:00-04:00,2024-08-28 09:47:00-04:00,4.394,4.1743,-0.050000000000000155,0.0
ok,,28.0,WCT,2026-06-03,sl,2026-06-03 10:02:00-04:00,2026-06-03 10:02:00-04:00,2.0735,1.969825,-0.050000000000000044,0.0
ok,,6.0,WKEY,2024-12-13,tp,2024-12-13 09:56:00-05:00,2024-12-13 09:56:00-05:00,4.29,4.719,0.10000000000000009,0.0
ok,,27.0,WTF,2025-06-17,tp,2025-06-17 10:35:00-04:00,2025-06-17 10:36:00-04:00,6.5,7.15,0.10000000000000009,1.0
ok,,14.0,XOS,2025-02-20,sl,2025-02-20 09:48:00-05:00,2025-02-20 09:48:00-05:00,5.7589999999999995,5.471049999999999,-0.050000000000000044,0.0
